method,params,score,metric
KMeans,"{'dimensionality_reduction': 'PCA', 'pca_n_components': 2, 'n_clusters': 16, 'init': 'k-means++', 'max_iter': 246, 'n_init': 37, 'algorithm': 'lloyd', 'tol': 0.00039295871936310495}",251.5124251241075,calinski_harabasz_score
DBSCAN,"{'dimensionality_reduction': 'PCA', 'pca_n_components': 2, 'eps': 2.262828540767958, 'min_samples': 58, 'metric': 'chebyshev', 'algorithm': 'ball_tree', 'leaf_size': 87}",0.33002563913817073,silhouette_score
GaussianMixture,"{'dimensionality_reduction': 'UMAP', 'umap_n_components': 87, 'umap_n_neighbors': 40, 'umap_min_dist': 0.12561605972928974, 'n_components': 12, 'covariance_type': 'full', 'reg_covar': 1.0019541957121454e-05, 'max_iter': 590, 'n_init': 1}",381.5145160539303,likelihood
AgglomerativeClustering,"{'dimensionality_reduction': 'UMAP', 'umap_n_components': 18, 'umap_n_neighbors': 6, 'umap_min_dist': 0.0010523865330790208, 'n_clusters': 7, 'linkage': 'ward', 'compute_distances': True}",0.4532315731048584,silhouette_score
SpectralClustering,"{'dimensionality_reduction': 'UMAP', 'umap_n_components': 2, 'umap_n_neighbors': 5, 'umap_min_dist': 0.015651972809456384, 'n_clusters': 6, 'affinity': 'rbf', 'assign_labels': 'discretize', 'random_state': 7}",0.47429394721984863,silhouette_score
Birch,"{'dimensionality_reduction': 'PCA', 'pca_n_components': 2, 'threshold': 0.08887164965075584, 'branching_factor': 35, 'n_clusters': 25, 'compute_labels': True}",225.1999638268855,calinski_harabasz_score
MeanShift,"{'dimensionality_reduction': 'UMAP', 'umap_n_components': 2, 'umap_n_neighbors': 16, 'umap_min_dist': 0.03761266321328082, 'bandwidth': 1.463061655793534, 'bin_seeding': True, 'max_iter': 510}",0.44756755232810974,silhouette_score
AffinityPropagation,"{'dimensionality_reduction': 'UMAP', 'umap_n_components': 2, 'umap_n_neighbors': 5, 'umap_min_dist': 0.0017463306392667237, 'damping': 0.8110133960436761, 'max_iter': 1832, 'preference': -36.74511542408208, 'convergence_iter': 75}",0.48322921991348267,silhouette_score
OPTICS,"{'dimensionality_reduction': 'UMAP', 'umap_n_components': 2, 'umap_n_neighbors': 41, 'umap_min_dist': 0.11699023524198, 'min_samples': 39, 'xi': 0.027233555052335393, 'min_cluster_size': 20, 'metric': 'manhattan', 'algorithm': 'brute'}",0.4182439148426056,silhouette_score
HDBSCAN,"{'dimensionality_reduction': 'UMAP', 'umap_n_components': 2, 'umap_n_neighbors': 9, 'umap_min_dist': 0.03722347772749319, 'min_cluster_size': 30, 'min_samples': 2, 'cluster_selection_epsilon': 0.00023842769625520566, 'metric': 'manhattan'}",204.5363311767578,calinski_harabasz_score
